,Movie Title,Link,Director and Player
51,The Lost Daughter,https://www.imdb.com/title/tt9100054/,"Maggie Gyllenhaal (dir.), Olivia Colman, Jessie Buckley"
52,The Matrix Resurrections,https://www.imdb.com/title/tt10838180/,"Lana Wachowski (dir.), Keanu Reeves, Carrie-Anne Moss"
53,Drive My Car,https://www.imdb.com/title/tt14039582/,"Ryûsuke Hamaguchi (dir.), Hidetoshi Nishijima, Tôko Miura"
54,The Cursed,https://www.imdb.com/title/tt9907782/,"Sean Ellis (dir.), Boyd Holbrook, Kelly Reilly"
55,Kingsman: The Golden Circle,https://www.imdb.com/title/tt4649466/,"Matthew Vaughn (dir.), Taron Egerton, Colin Firth"
56,Tyler Perry's A Madea Homecoming,https://www.imdb.com/title/tt14813966/,"Tyler Perry (dir.), Tyler Perry, Cassi Davis"
57,King Richard,https://www.imdb.com/title/tt9620288/,"Reinaldo Marcus Green (dir.), Will Smith, Aunjanue Ellis"
58,The Godfather,https://www.imdb.com/title/tt0068646/,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
59,Jurassic World Dominion,https://www.imdb.com/title/tt8041270/,"Colin Trevorrow (dir.), Dichen Lachman, Daniella Pineda"
60,365 Days,https://www.imdb.com/title/tt10886166/,"Barbara Bialowas (dir.), Anna Maria Sieklucka, Michele Morrone"
61,Home Team,https://www.imdb.com/title/tt14592064/,"Charles Kinnane (dir.), Kevin James, Taylor Lautner"
62,The Dark Knight,https://www.imdb.com/title/tt0468569/,"Christopher Nolan (dir.), Christian Bale, Heath Ledger"
63,The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
64,Thor: Love and Thunder,https://www.imdb.com/title/tt10648342/,"Taika Waititi (dir.), Taika Waititi, Christian Bale"
65,Last Night in Soho,https://www.imdb.com/title/tt9639470/,"Edgar Wright (dir.), Thomasin McKenzie, Anya Taylor-Joy"
66,Nobody,https://www.imdb.com/title/tt7888964/,"Ilya Naishuller (dir.), Bob Odenkirk, Aleksey Serebryakov"
67,Parallel Mothers,https://www.imdb.com/title/tt12618926/,"Pedro Almodóvar (dir.), Penélope Cruz, Milena Smit"
68,Blacklight,https://www.imdb.com/title/tt14060094/,"Mark Williams (dir.), Liam Neeson, Aidan Quinn"
69,Antlers,https://www.imdb.com/title/tt7740510/,"Scott Cooper (dir.), Keri Russell, Jesse Plemons"
70,Texas Chainsaw,https://www.imdb.com/title/tt1572315/,"John Luessenhop (dir.), Alexandra Daddario, Tania Raymonde"
71,Murder on the Orient Express,https://www.imdb.com/title/tt3402236/,"Kenneth Branagh (dir.), Kenneth Branagh, Penélope Cruz"
72,X,https://www.imdb.com/title/tt13560574/,"Ti West (dir.), Jenna Ortega, Brittany Snow"
73,Ted K,https://www.imdb.com/title/tt8128276/,"Tony Stone (dir.), Sharlto Copley, Drew Powell"
74,The Many Saints of Newark,https://www.imdb.com/title/tt8110232/,"Alan Taylor (dir.), Alessandro Nivola, Leslie Odom Jr."
75,The Desperate Hour,https://www.imdb.com/title/tt13133936/,"Phillip Noyce (dir.), Naomi Watts, Colton Gobbo"
76,Redeeming Love,https://www.imdb.com/title/tt11365186/,"D.J. Caruso (dir.), Abigail Cowen, Tom Lewis"
77,Gangubai Kathiawadi,https://www.imdb.com/title/tt10083340/,"Sanjay Leela Bhansali (dir.), Alia Bhatt, Abhinay Raj Singh"
78,Scream,https://www.imdb.com/title/tt0117571/,"Wes Craven (dir.), Neve Campbell, Courteney Cox"
79,Shang-Chi and the Legend of the Ten Rings,https://www.imdb.com/title/tt9376612/,"Destin Daniel Cretton (dir.), Simu Liu, Awkwafina"
80,My Girl,https://www.imdb.com/title/tt0102492/,"Howard Zieff (dir.), Anna Chlumsky, Macaulay Culkin"
81,Avengers: Endgame,https://www.imdb.com/title/tt4154796/,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans"
82,Once Upon a Time... In Hollywood,https://www.imdb.com/title/tt7131622/,"Quentin Tarantino (dir.), Leonardo DiCaprio, Brad Pitt"
83,St. Vincent,https://www.imdb.com/title/tt2170593/,"Theodore Melfi (dir.), Bill Murray, Melissa McCarthy"
84,Last Man Down,https://www.imdb.com/title/tt12335692/,"Fansu Njie (dir.), Daniel Stisen, Olga Kent"
85,Downfall: The Case Against Boeing,https://www.imdb.com/title/tt11893274/,"Rory Kennedy (dir.), Donald Trump, John Fantasia"
86,Killers of the Flower Moon,https://www.imdb.com/title/tt5537002/,"Martin Scorsese (dir.), Jesse Plemons, Leonardo DiCaprio"
87,The Tragedy of Macbeth,https://www.imdb.com/title/tt10095582/,"Joel Coen (dir.), Denzel Washington, Frances McDormand"
